"Relative Time","Action_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"00:00","","","1.005"
"00:16","","","1.056"
"00:24","","","1.017"
"04:24","3.345","0",""
"04:40","4.513","0",""
"05:28","3.719","0",""
