"Relative Time","Hits"
"00:00","0.25"
"00:08","0"
"00:16","0.25"
"00:24","0"
"00:32","2.125"
"00:40","0"
"00:48","2.125"
"00:56","0"
"01:04","2.375"
"01:12","0.25"
"01:20","1.875"
"01:28","2.125"
"01:36","0"
"01:44","0.25"
"01:52","0.375"
"02:00","0.25"
"02:08","0.375"
"02:16","0.125"
"02:24","0.375"
"02:32","0.125"
"02:40","0.5"
"02:48","0.5"
"02:56","0.125"
"03:04","0.25"
"03:12","0.25"
"03:20","0.125"
"03:28","0.25"
"03:36","0"
"03:44","0.25"
"03:52","0"
"04:00","0.25"
