"Relative Time","Action_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"00:00","","","0.917"
"00:16","","","0.936"
"00:24","","","0.959"
"00:40","","","0.939"
"00:56","","","0.904"
"03:04","3.448","0",""
"03:12","3.545","0",""
"03:28","3.418","0",""
"03:44","3.329","0",""
"04:00","3.289","0",""
