"Relative Time","Run"
"00:00","1"
"00:08","2"
"00:20","3"
"00:28","4"
"00:40","5"
"00:48","6"
"01:48","5"
"01:56","4"
"02:00","3"
"02:04","2"
"02:08","1"
"02:16","0"
"02:20","0"
