"Relative Time","Action_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"00:00","","","2.281"
"00:12","","","2.486"
"00:20","","","2.234"
"01:44","9.587","",""
"01:48","4.394","",""
"01:56","3.451","",""
"02:00","","1.178",""
